person,role,ministry,start_date,end_date
Mark Rutte,Minister,Algemene Zaken,26-10-2017,15-01-2022
Halbe Zijlstra,Minister,Buitenlandse Zaken ,26-10-2017,15-01-2022
Stef Blok,Minister,Buitenlandse Zaken ,07-03-2018,05-05-2021
Sigrid Kaag,Minister,Buitenlandse Zaken ,24-01-2021,17-09-2021
Sigrid Kaag,Minister,Buitenlandse Handel en Ontwikkelingssamenwerking ,26-10-2017,29-01-2021
Tom de Bruijn,Minister,Buitenlandse Handel en Ontwikkelingssamenwerking ,10-08-2021,10-01-2022
Ferd Grapperhaus,Minister,Justitie en Veiligheid,26-10-2017,15-01-2022
Mark Harbers,Staatssecretaris,Justitie en Veiligheid,26-10-2017,26-10-2017
Ankie Broekers-Knol,Staatssecretaris,Justitie en Veiligheid,11-06-2019,15-01-2022
Sander Dekker,Minister,Rechtsbescherming,26-10-2017,15-01-2022
Kajsa Ollongren,Minister,Binnenlandse Zaken en Koninkrijksrelaties ,26-10-2017,15-01-2022
Raymond Knops,Staatssecretaris,Binnenlandse Zaken en Koninkrijksrelaties ,26-10-2017,15-01-2022
Ingrid van Engelshoven,Minister,"Onderwijs, Cultuur en Wetenschap  ",26-10-2017,15-01-2022
Arie Slob,Minister,Basis en Voortgezet Onderwijs en Media,26-10-2017,15-01-2022
Wopke Hoekstra,Minister,Financiën ,26-10-2017,15-01-2022
Menno Snel,Staatssecretaris,Financiën ,26-10-2017,18-12-2019
Alexandra van Huffelen,Staatssecretaris,Financiën ,29-01-2020,10-01-2022
Hans Vijlbrief,Staatssecretaris,Financiën ,29-01-2020,10-01-2022
Ank Bijleveld-Schouten,Minister,Defensie ,26-10-2017,17-09-2021
Barbara Visser,Staatssecretaris,Defensie ,26-10-2017,31-08-2021
Cora van Nieuwenhuizen-Wijbenga,Minister,Infrastructuur en Waterstaat ,26-10-2017,31-08-2021
Barbara Visser,Minister,Infrastructuur en Waterstaat ,01-09-2021,15-01-2022
Stientje van Veldhoven-van der Meer,Staatssecretaris,Infrastructuur en Waterstaat ,26-10-2017,19-07-2021
Steven van Weyenberg,Staatssecretaris,Infrastructuur en Waterstaat ,10-08-2021,10-01-2022
Stientje van Veldhoven-van der Meer  ,Minister,Milieu en Wonen,01-11-2019,14-04-2020
Eric Wiebes,Minister,Economische Zaken en Klimaat ,26-10-2017,14-01-2021
Cora van Nieuwenhuizen-Wijbenga,Minister,Economische Zaken en Klimaat ,15-01-2021,20-01-2021
Bas van 't Wout  ,Minister,Economische Zaken en Klimaat ,21-01-2021,25-05-2021
Mona Keijzer,Staatssecretaris,Economische Zaken en Klimaat ,26-10-2017,25-09-2021
Dilan Yesilgöz-Zegerius  ,Staatssecretaris,Economische Zaken en Klimaat ,25-05-2021,10-01-2022
Carola Schouten,Minister,"Landbouw, Natuur en Voedselkwaliteit  ",26-10-2017,15-01-2022
Wouter Koolmees,Minister,Sociale Zaken en Werkgelegenheid ,26-10-2017,15-01-2022
Tamara van Ark,Staatssecretaris,Sociale Zaken en Werkgelegenheid ,26-10-2017,09-07-2020
Bas van 't Wout  ,Staatssecretaris,Sociale Zaken en Werkgelegenheid ,10-07-2020,20-01-2021
Dennis Wiersma,Staatssecretaris,Sociale Zaken en Werkgelegenheid ,10-08-2021,10-01-2022
Hugo de Jonge,Minister,"Volksgezondheid, Welzijn en Sport  ",26-10-2017,15-01-2022
Paul Blokhuis,Staatssecretaris,"Volksgezondheid, Welzijn en Sport  ",26-10-2017,15-01-2022
Bruno Bruins,Minister,Medische Zorg ,26-10-2017,19-03-2020
Mark van Rijn,Staatssecretaris,Medische Zorg ,23-03-2020,09-07-2020
Tamara van Ark,Staatssecretaris,Medische Zorg ,09-07-2020,03-09-2021
